id_output,Name,Stage,Type,image,Rarity,Evolves to,Evolution candy,HP,Attack,Defence,Speed,Total,Move1 Name,Move1 Power,Move1 Level,Move1 Stat Buff,Move1 Stat Buff Percentage,Move2 Name,Move2 Power,Move2 Level,Move2 Stat Buff,Move2 Stat Buff Percentage,Move3 Name,Move3 Power,Move3 Level,Move3 Stat Buff,Move3 Stat Buff Percentage,Move4 Name,Move4 Power,Move4 Level,Move4 Stat Buff,Move4 Stat Buff Percentage
Exclusive_01.png,Cryostone,Stage 1,Mystic,Cryostone.png,4,Ghoulgourd,35,80,40,68,20,208,Frost Pebble,42,1,,,Mystic Chill,64,4,,,,,,,,,,,,
Exclusive_02.png,Ghoulgourd,Stage 2,Mystic,Ghoulgourd.png,,,,99,64,99,35,297,Frost Pebble,42,1,,,Mystic Chill,64,4,,,Glacial Ward,Buff,6,Defence,40%,Crystal Break,77,8,,
Exclusive_03.png,Sushimi,Stage 1,Mystic,Sushimi.png,3,Tunarisu,30,40,40,30,45,155,Slice Ripple,36,1,,,Tidal Cut,48,4,,,,,,,,,,,,
Exclusive_04.png,Tunarisu,Stage 2,Mystic,Tunarisu.png,,Sushimaru,60,77,87,45,49,258,Slice Ripple,36,1,,,Tidal Cut,48,4,,,Wasabi Focus,Buff,6,Attack,40%,Spirit Fillet,77,8,,
Exclusive_05.png,Sushimaru,Stage 3,Mystic,Sushimaru.png,,,,140,94,46,49,329,Slice Ripple,36,1,,,Tidal Cut,48,4,,,Wasabi Focus,Buff,6,Attack,40%,Spirit Fillet,77,8,,
Exclusive_06.png,Chargorb Electro,Stage 1,Wind,Chargorb Electro.png,4,,,62,85,95,90,332,Breeze Spark,33,1,,,Volt Gust,47,4,,,Jetstream Boost,Buff,6,Speed,40%,Thunder Cyclone,69,8,,
Exclusive_07.png,Penkit,Stage 1,Wind,Penkit.png,4,Penseraph,35,45,49,56,85,235,Feather Flick,40,1,,,Gale Peck,46,4,,,Wing Rally,Buff,6,Attack,50%,,,,,
Exclusive_08.png,Penseraph,Stage 2,Wind,Penseraph.png,,,,69,88,73,89,319,Feather Flick,40,1,,,Gale Peck,46,4,,,Wing Rally,Buff,6,Attack,50%,Sky Burst,67,8,,
Exclusive_09.png,Castanito,Stage 1,Neutral,Castanito.png,3,Blaminut,30,40,34,58,44,176,Nut Bash,37,1,,,Shell Roll,54,4,,,,,,,,,,,,
Exclusive_10.png,Blaminut,Stage 2,Neutral,Blaminut.png,,Brasquente,60,52,46,70,56,224,Nut Bash,37,1,,,Shell Roll,54,4,,,,,,,,,,,,
Exclusive_11.png,Brasquente,Stage 3,Neutral,Brasquente.png,,,,70,100,68,67,305,Nut Bash,37,1,,,Shell Roll,54,4,,,Core Charge,Buff,5,Attack,40%,Chestnut Crush,72,8,,
Exclusive_12.png,Capyfrio,Stage 1,Neutral,Capyfrio.png,4,Gelibara,35,70,60,60,45,235,Frost Nudge,43,1,,,Chill Slide,52,4,,,Ice Guard,Buff,5,Defence,50%,,,,,
Exclusive_13.png,Gelibara,Stage 2,Neutral,Gelibara.png,,,,80,84,80,69,313,Frost Nudge,43,1,,,Chill Slide,52,4,,,Ice Guard,Buff,5,Defence,50%,Polar Pounce,83,8,,
Exclusive_14.png,Tulippestus,Stage 1,Celestial,Tulippestus.png,5,,,105,105,40,105,355,Petal Spark,33,1,,,Bloom Pulse,41,4,,,Starstep Grace,Buff,6,Speed,50%,Celestial Blossom,79,8,,
Exclusive_15.png,Tenyz,Stage 1,Celestial,Tenyz.png,4,Barystellar,35,47,75,28,72,222,Stardust Tap,40,1,,,Nebula Flick,47,4,,,,,,,,,,,,
Exclusive_16.png,Barystellar,Stage 2,Celestial,Barystellar.png,,,,79,88,79,88,334,Stardust Tap,40,1,,,Nebula Flick,47,4,,,Cosmic Drift,Buff,7,Speed,50%,Astral Burst,73,8,,
Exclusive_17.png,Chargorb Rusty,Stage 1,Mechanic,Chargorb Rusty.png,4,,,90,85,95,62,332,Rust Chip,33,1,,,Gear Pulse,61,4,,,Iron Guard,Buff,5,Defence,40%,Oxidize Slam,64,8,,
Exclusive_18.png,Belliffel,Stage 1,Mechanic,Belliffel.png,3,Mechabeyle,50,50,67,80,60,257,Clank Tap,31,1,,,Metal Chime,49,4,,,,,,,,,,,,
Exclusive_19.png,Mechabeyle,Stage 2,Mechanic,Mechabeyle.png,,,,70,76,106,60,312,Clank Tap,31,1,,,Metal Chime,49,4,,,Shell Fortify,Buff,5,Defence,40%,Resonance Crash,82,8,,
